This data contains example velocities, not measured velocities  
CDP-X       CDP-Y   Time(ms)  Vrms    Vint    Vavg   Depth(m)
 605882.71  6073657.74   50.00 1500.00 1500.00 1500.00   37.50
 605882.71  6073657.74  858.86 1936.22 1960.00 1933.22  830.19
 605882.71  6073657.74 1026.17 1977.12 2175.00 1972.64 1012.13
 605882.71  6073657.74 1125.66 2003.73 2260.00 1998.04 1124.55
 605882.71  6073657.74 1848.00 2167.27 2400.00 2155.16 1991.36
 606082.63  6073663.33   50.00 1500.00 1500.00 1500.00   37.50
 606082.63  6073663.33  859.57 1936.24 1960.00 1933.24  830.88
 606082.63  6073663.33 1025.47 1976.82 2175.00 1972.35 1011.29
 606082.63  6073663.33 1124.00 2003.25 2260.00 1997.57 1122.63
 606082.63  6073663.33 1848.00 2167.36 2400.00 2155.23 1991.43
 606282.55  6073668.91   50.00 1500.00 1500.00 1500.00   37.50
 606282.55  6073668.91  856.37 1936.15 1960.00 1933.14  827.75
 606282.55  6073668.91 1023.77 1977.18 2175.00 1972.69 1009.79
 606282.55  6073668.91 1121.84 2003.49 2260.00 1997.80 1120.61
 606282.55  6073668.91 1848.00 2167.97 2400.00 2155.85 1992.00
 606482.47  6073674.50   50.00 1500.00 1500.00 1500.00   37.50
 606482.47  6073674.50  850.72 1935.99 1960.00 1932.96  822.20
 606482.47  6073674.50 1022.99 1978.26 2175.00 1973.72 1009.55
 606482.47  6073674.50 1121.00 2004.48 2260.00 1998.75 1120.30
 606482.47  6073674.50 1848.00 2168.70 2400.00 2156.60 1992.70
 606682.39  6073680.09   50.00 1500.00 1500.00 1500.00   37.50
 606682.39  6073680.09  845.87 1935.85 1960.00 1932.81  817.45
 606682.39  6073680.09  950.25 1963.55 2175.00 1959.41  930.97
 606682.39  6073680.09 1119.71 2011.22 2260.00 2004.90 1122.46
 606682.39  6073680.09 1848.00 2172.76 2400.00 2160.61 1996.40
 606882.32  6073685.67   50.00 1500.00 1500.00 1500.00   37.50
 606882.32  6073685.67  839.96 1935.68 1960.00 1932.62  811.66
 606882.32  6073685.67  950.18 1964.94 2175.00 1960.73  931.53
 606882.32  6073685.67 1118.08 2012.01 2260.00 2005.67 1121.25
 606882.32  6073685.67 1848.00 2173.55 2400.00 2161.42 1997.16
 607082.24  6073691.26   50.00 1500.00 1500.00 1500.00   37.50
 607082.24  6073691.26  831.87 1935.44 1960.00 1932.35  803.74
